deputado1,deputado2,peso
Mauricio Neves,Luiz Carlos Hauly,1
Mauricio Neves,Arthur Oliveira Maia,1
Mauricio Neves,Emidinho Madeira,1
Mauricio Neves,Wellington Roberto,1
Mauricio Neves,Mário Heringer,1
Mauricio Neves,Claudio Cajado,1
Mauricio Neves,Pedro Paulo,1
Mauricio Neves,Eunício Oliveira,1
Mauricio Neves,Renildo Calheiros,1
Mauricio Neves,Luiz Nishimori,1
Mauricio Neves,Magda Mofatto,3
Mauricio Neves,Renilce Nicodemos,2
Mauricio Neves,Josenildo,1
Mauricio Neves,Arnaldo Jardim,1
Mauricio Neves,Carlos Veras,2
Mauricio Neves,Meire Serafim,1
Mauricio Neves,Reimont,1
Mauricio Neves,Laura Carneiro,2
Mauricio Neves,Rodrigo de Castro,1
Mauricio Neves,Kiko Celeguim,1
Mauricio Neves,Paulo Magalhães,1
Mauricio Neves,Daniel Barbosa,1
Mauricio Neves,Benes Leocádio,1
Mauricio Neves,Rui Falcão,2
Mauricio Neves,Caio Vianna,1
Mauricio Neves,Simone Marquetto,1
Mauricio Neves,Alice Portugal,1
Mauricio Neves,Maria Arraes,1
Mauricio Neves,Ana Paula Leão,3
Mauricio Neves,Joaquim Passarinho,1
Mauricio Neves,Lídice da Mata,2
Mauricio Neves,Idilvan Alencar,1
Mauricio Neves,Elmar Nascimento,1
Mauricio Neves,Cezinha de Madureira,1
Mauricio Neves,Dimas Gadelha,1
Mauricio Neves,Ivoneide Caetano,1
Mauricio Neves,Bacelar,1
Mauricio Neves,Raimundo Santos,1
Mauricio Neves,Cabo Gilberto Silva,1
Mauricio Neves,Coronel Telhada,1
Mauricio Neves,Marcon,1
Mauricio Neves,Amália Barros,1
Mauricio Neves,Rosângela Reis,1
Mauricio Neves,Ruy Carneiro,1
Mauricio Neves,Léo Prates,1
Mauricio Neves,Gilson Daniel,1
Mauricio Neves,Ismael Alexandrino,1
Mauricio Neves,Pastor Henrique Vieira,1
Mauricio Neves,Dimas Fabiano,1
Mauricio Neves,Pastor Sargento Isidório,1
Mauricio Neves,Guilherme Boulos,1
Mauricio Neves,Jilmar Tatto,1
Mauricio Neves,Thiago de Joaldo,1
Mauricio Neves,Max Lemos,1
Mauricio Neves,Luiz Gastão,1
Mauricio Neves,Welter,1
Mauricio Neves,Arlindo Chinaglia,1
Mauricio Neves,Afonso Motta,1
Mauricio Neves,Talíria Petrone,1
Mauricio Neves,Dilvanda Faro,1
Mauricio Neves,Tiririca,1
Mauricio Neves,André Ferreira,1
Mauricio Neves,Celso Sabino,1
Mauricio Neves,Jonas Donizette,1
Mauricio Neves,Luisa Canziani,1
Mauricio Neves,Zé Trovão,1
Mauricio Neves,Delegada Adriana Accorsi,1
Mauricio Neves,Glauber Braga,1
Mauricio Neves,André Fufuca,1
Mauricio Neves,Erika Kokay,1
Mauricio Neves,Pr. Marco Feliciano,1
Mauricio Neves,Bibo Nunes,1
Mauricio Neves,Antonio Carlos Rodrigues,1
Mauricio Neves,Tadeu Veneri,1
Mauricio Neves,Vander Loubet,1
Mauricio Neves,José Guimarães,2
Mauricio Neves,Rubens Pereira Júnior,1
Mauricio Neves,Dandara,1
Mauricio Neves,Florentino Neto,1
Mauricio Neves,Alfredinho,1
Mauricio Neves,Pastor Eurico,1
Mauricio Neves,Tarcísio Motta,2
Mauricio Neves,Samuel Viana,1
Mauricio Neves,Chico Alencar,1
Mauricio Neves,Zé Haroldo Cathedral,2
Mauricio Neves,Giovani Cherini,1
Mauricio Neves,Ana Pimentel,1
Mauricio Neves,Jorge Solla,1
Mauricio Neves,Odair Cunha,1
Mauricio Neves,Fernando Monteiro,1
Mauricio Neves,Delegado Éder Mauro,3
Mauricio Neves,Eduardo Bolsonaro,1
Mauricio Neves,Coronel Chrisóstomo,3
Mauricio Neves,Gabriel Nunes,1
Mauricio Neves,André Figueiredo,1
Mauricio Neves,Miguel Lombardi,1
Mauricio Neves,Lucas Ramos,1
Mauricio Neves,Luciano Azevedo,1
Mauricio Neves,Capitão Alberto Neto,1
Mauricio Neves,Rodolfo Nogueira,1
Mauricio Neves,Carol Dartora,1
Mauricio Neves,Mauricio do Vôlei,1
Mauricio Neves,Vermelho,1
Mauricio Neves,General Girão,1
Mauricio Neves,Caroline de Toni,2
Mauricio Neves,Lucas Redecker,2
Mauricio Neves,Kim Kataguiri,2
Mauricio Neves,Messias Donato,2
Mauricio Neves,Tenente Coronel Zucco,2
Mauricio Neves,Ricardo Salles,2
Mauricio Neves,Paulão,1
Mauricio Neves,Pedro Campos,1
Helder Salomão,Sonize Barbosa,2
Helder Salomão,Mauricio Neves,2
Helder Salomão,Bohn Gass,2
Helder Salomão,Delegado Caveira,2
Helder Salomão,Reginete Bispo,2
Helder Salomão,Ana Paula Lima,2
Helder Salomão,Jack Rocha,2
Helder Salomão,Júnior Mano,2
Helder Salomão,Márcio Honaiser,2
Helder Salomão,Célio Studart,2
Helder Salomão,Lêda Borges,2
Helder Salomão,Dr. Frederico,2
Helder Salomão,Alceu Moreira,2
Helder Salomão,Marcelo Lima,2
Helder Salomão,Júlio Cesar,2
Helder Salomão,Flávio Nogueira,4
Helder Salomão,Luiz Carlos Motta,2
Helder Salomão,Pedro Uczai,2
Helder Salomão,Paulo Abi-Ackel,2
Helder Salomão,Felipe Carreras,2
Helder Salomão,Gilvan da Federal,2
Helder Salomão,Toninho Wandscheer,2
Helder Salomão,Márcio Jerry,2
Helder Salomão,Félix Mendonça Júnior,2
Helder Salomão,Bebeto,2
Helder Salomão,Yury do Paredão,2
Helder Salomão,Alencar Santana,6
Helder Salomão,Valmir Assunção,4
Helder Salomão,Zeca Dirceu,2
Helder Salomão,Marcelo Moraes,2
Helder Salomão,Adolfo Viana,2
Helder Salomão,Aureo Ribeiro,2
Helder Salomão,Gutemberg Reis,2
Helder Salomão,Marcos Pollon,2
Helder Salomão,Heitor Schuch,2
Helder Salomão,José Medeiros,2
Helder Salomão,Luiza Erundina,2
Helder Salomão,Ricardo Abrão,2
Helder Salomão,Antônio Doido,2
Helder Salomão,Clarissa Tércio,2
Helder Salomão,Zé Neto,2
Helder Salomão,Marcos Tavares,4
Helder Salomão,Bruno Farias,2
Helder Salomão,Luiz Antônio Corrêa,2
Helder Salomão,Lázaro Botelho,2
Helder Salomão,Da Vitoria,2
Helder Salomão,Marco Brasil,2
Helder Salomão,Cobalchini,4
